rank;signature;path;startLine;endLine;score
1;com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldArrayAccess(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1422;1472;1.0
2;com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldGetElem(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1353;1367;0.7071067811865475
3;com.google.javascript.jscomp$AbstractPeepholeOptimization.error(DiagnosticType,Node);com/google/javascript/jscomp/AbstractPeepholeOptimization.java;44;55;0.5773502691896258
3;com.google.javascript.jscomp$SourceFile.toString();com/google/javascript/jscomp/SourceFile.java;301;304;0.5773502691896258
3;com.google.javascript.rhino$Node.getSortedPropTypes();com/google/javascript/rhino/Node.java;878;892;0.5773502691896258
3;com.google.javascript.rhino$Node.propToString(int);com/google/javascript/rhino/Node.java;116;149;0.5773502691896258
3;com.google.javascript.rhino$Node.toString();com/google/javascript/rhino/Node.java;934;937;0.5773502691896258
3;com.google.javascript.rhino$Node.toString(StringBuilder,boolean,boolean,boolean);com/google/javascript/rhino/Node.java;948;1007;0.5773502691896258
3;com.google.javascript.rhino$Token.name(int);com/google/javascript/rhino/Token.java;180;284;0.5773502691896258
3;com.google.javascript.rhino.Node$ObjectPropListItem.toString();com/google/javascript/rhino/Node.java;318;321;0.5773502691896258
76;com.google.javascript.jscomp$PeepholeFoldConstants.optimizeSubtree(Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;74;97;0.06804138174397717
446;com.google.javascript.jscomp$CompilerOptions.CompilerOptions();com/google/javascript/jscomp/CompilerOptions.java;776;922;0.052057920629535355
499;com.google.javascript.jscomp$NodeUtil.checkForStateChangeHelper(Node,boolean,AbstractCompiler);com/google/javascript/jscomp/NodeUtil.java;784;934;0.0
499;com.google.javascript.jscomp$PeepholeFoldConstants.isEqualityOp(int);com/google/javascript/jscomp/PeepholeFoldConstants.java;1252;1261;0.0
499;com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldGetProp(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1369;1407;0.0
499;com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldObjectPropAccess(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1474;1535;0.0
499;com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldTypeof(Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;277;332;0.0
499;com.google.javascript.jscomp$PeepholeFoldConstants.tryReduceVoid(Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;181;190;0.0
