Config,MAR,Cost,MAR/ref,Cost/ref,dist,alpha_max,region
M1R1-M1R1-M2R1,2.6311,0.0016,0.9588,0.3019,-0.1705,0.271,crosses
M2R1-M1R1-M2R1,2.4846,0.0022,0.9577,0.3856,-0.1653,0.263,crosses
M1R1-M1R1-M2R2,2.604,0.002,0.9617,0.3765,-0.1561,0.248,crosses
M1R1-M1R1-M2R3,2.451,0.0031,0.9652,0.5206,-0.1333,0.212,crosses
M1R1-M1R1-M3R1,2.3219,0.0049,0.9968,0.7632,-0.0674,0.123,crosses
M2R1-M2R2-M2R1,2.3225,0.0055,0.9981,0.8583,-0.0403,0.082,crosses
M2R3-M3R1-M3R1,2.0076,0.0155,0.9579,0.9966,-0.0419,0.041,between
M3R1-M2R2-M3R1,2.0267,0.0129,0.9591,0.979,-0.0427,0.038,between
M2R2-M3R1-M3R1,2.0287,0.0153,0.9673,0.9973,-0.0325,0.032,between
M3R1-M2R3-M3R1,2.0268,0.0166,0.9696,0.9977,-0.0302,0.029,between
M3R1-M2R1-M3R1,2.0313,0.0162,0.9707,0.9977,-0.0291,0.028,between
M2R1-M2R1-M3R1,2.1445,0.01,0.9757,0.9831,-0.0264,0.023,between
M2R1-M2R1-M2R3,2.2513,0.0082,0.9987,0.9989,-0.0014,0.001,between
M2R1-M1R1-M1R1,3.8497,0.0017,1.0027,1.2438,0.0155,-,above
M1R1-M2R1-M1R1,3.5261,0.0055,1.0249,1.9977,0.129,-,above
M2R2-M1R1-M1R1,4.1187,0.0021,1.0392,2.3175,0.0912,-,above
M1R1-M2R2-M1R1,3.4088,0.0037,1.0069,1.2537,0.0351,-,above
M2R3-M1R1-M1R1,3.978,0.0025,1.0118,2.4553,0.0701,-,above
M1R1-M2R3-M1R1,3.5286,0.0079,1.0445,2.6225,0.2264,-,above
M3R1-M1R1-M1R1,4.0957,0.0082,1.0558,6.7437,0.3264,-,above
M1R1-M3R1-M1R1,3.4621,0.0115,1.0758,3.2145,0.3676,-,above
M1R1-M2R1-M2R1,2.4103,0.0064,1.0001,1.0041,0.0012,-,above
M2R1-M2R1-M1R1,3.5663,0.0056,1.0264,2.1197,0.1385,-,above
M2R2-M2R1-M2R1,2.3093,0.0069,1.0083,1.0088,0.0094,-,above
M2R1-M2R1-M2R2,2.2904,0.0069,1.0003,1.0003,0.0003,-,above
M2R3-M2R1-M2R1,2.3002,0.0073,1.0088,1.0089,0.0099,-,above
M2R1-M2R3-M2R1,2.3583,0.0097,1.0608,1.0468,0.0669,-,above
M3R1-M2R1-M2R1,2.2363,0.0136,1.0583,1.03,0.061,-,above
M2R1-M3R1-M2R1,2.2839,0.0135,1.0768,1.0405,0.0806,-,above
M1R1-M3R1-M3R1,2.0978,0.0162,1.0025,1.0002,0.0025,-,above
M3R1-M1R1-M3R1,2.2218,0.0119,1.0309,1.0183,0.033,-,above
M3R1-M3R1-M1R1,3.6277,0.0191,1.1499,5.0394,0.7129,-,above
M2R1-M3R1-M3R1,2.0964,0.0169,1.0037,1.0003,0.0037,-,above
M3R1-M3R1-M2R1,2.1522,0.0199,1.0379,1.0024,0.0373,-,above
M3R1-M3R1-M2R2,2.2119,0.0203,1.0677,1.0042,0.0666,-,above
M3R1-M3R1-M2R3,2.1237,0.0211,1.0275,1.0016,0.0269,-,above
